title,year,cited_by,doi,venue,authors,method_relevance,areas,doi_url,oa_pdf_url,landing_url,openalex_url,is_oa
Phenology-based <i>Spartina alterniflora</i> mapping in coastal wetland of the Yangtze Estuary using time series of GaoFen satellite no. 1 wide field of view imagery,2017,40,10.1117/1.jrs.11.026020,Journal of Applied Remote Sensing,Jinquan Ai; Wei Gao; Zhiqiang Gao,9.5,invasive_phenology_ts,https://doi.org/10.1117/1.jrs.11.026020,,https://doi.org/10.1117/1.jrs.11.026020,https://openalex.org/W2618777245,False
Changes in the Occurrence of Five Invasive Plant Species in Different Ecosystem Types between 2009–2018 in Hungary,2023,9,10.3390/land12091784,Land,Márton Bence Balogh; Miklós Kertész; Katalin Török,8.5,russian_olive,https://doi.org/10.3390/land12091784,https://www.mdpi.com/2073-445X/12/9/1784/pdf?version=1694685682,https://doi.org/10.3390/land12091784,https://openalex.org/W4386782335,True
"Russian olive distribution and invasion dynamics along the Powder River, Montana and Wyoming, USA",2024,1,10.1007/s10530-024-03394-3,Biological Invasions,K. Diane Courtney; Catherine Buczek; Sharon Bywater‐Reyes,8.5,russian_olive,https://doi.org/10.1007/s10530-024-03394-3,https://link.springer.com/content/pdf/10.1007/s10530-024-03394-3.pdf,https://doi.org/10.1007/s10530-024-03394-3,https://openalex.org/W4401305278,True
High-frequency time series comparison of Sentinel-1 and Sentinel-2 satellites for mapping open and vegetated water across the United States (2017–2021),2023,85,10.1016/j.rse.2023.113498,Remote Sensing of Environment,Melanie K. Vanderhoof; Laurie C. Alexander; Jay R. Christensen,8.0,riparian_s2_ml; dryland_riparian_change,https://doi.org/10.1016/j.rse.2023.113498,https://doi.org/10.1016/j.rse.2023.113498,https://doi.org/10.1016/j.rse.2023.113498,https://openalex.org/W4320895143,True
"A Remote Sensing Method to Monitor Water, Aquatic Vegetation, and Invasive Water Hyacinth at National Extents",2020,69,10.3390/rs12244021,Remote Sensing,Geethen Singh; Chevonne Reynolds; Marcus J. Byrne,8.0,fm_riparian,https://doi.org/10.3390/rs12244021,https://www.mdpi.com/2072-4292/12/24/4021/pdf?version=1607676892,https://doi.org/10.3390/rs12244021,https://openalex.org/W3111888453,True
Deep learning detects invasive plant species across complex landscapes using Worldview‐2 and Planetscope satellite imagery,2022,74,10.1002/rse2.288,Remote Sensing in Ecology and Conservation,Thomas A. Lake; Ryan D. Briscoe Runquist; David A. Moeller,7.5,invasive_phenology_ts,https://doi.org/10.1002/rse2.288,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rse2.288,https://doi.org/10.1002/rse2.288,https://openalex.org/W4282833842,True
Tamarisk and Russian Olive Occurrence and Absence Dataset Collected in Select Tributaries of the Colorado River for 2017,2018,3,10.3390/data3040042,Data,Anthony G. Vorster; Brian Woodward; Amanda M. West,7.5,russian_olive; beetle_defoliation,https://doi.org/10.3390/data3040042,https://www.mdpi.com/2306-5729/3/4/42/pdf?version=1539769949,https://doi.org/10.3390/data3040042,https://openalex.org/W2896324462,True
Foundation Models for Generalist Geospatial Artificial Intelligence,2023,14,10.48550/arxiv.2310.18660,arXiv (Cornell University),Johannes Jakubik; Sujit Roy; Chris Phillips,7.0,presto_pixel_ts; prithvi,https://doi.org/10.48550/arxiv.2310.18660,https://arxiv.org/pdf/2310.18660,http://arxiv.org/abs/2310.18660,https://openalex.org/W4388092733,True
"Coastal Wetland Mapping Using Ensemble Learning Algorithms: A Comparative Study of Bagging, Boosting and Stacking Techniques",2020,141,10.3390/rs12101683,Remote Sensing,Li Wen; Michael G. Hughes,6.5,riparian_s2_ml,https://doi.org/10.3390/rs12101683,https://www.mdpi.com/2072-4292/12/10/1683/pdf,https://doi.org/10.3390/rs12101683,https://openalex.org/W3028081629,True
Hyperspectral Time Series Analysis of Native and Invasive Species in Hawaiian Rainforests,2012,69,10.3390/rs4092510,Remote Sensing,Ben Somers; Gregory P. Asner,6.5,invasive_phenology_ts,https://doi.org/10.3390/rs4092510,https://www.mdpi.com/2072-4292/4/9/2510/pdf?version=1403130992,https://doi.org/10.3390/rs4092510,https://openalex.org/W2057162081,True
UTILIZING REMOTE SENSING TO SUPPLEMENT GROUND MONITORING OF DIORHABDA ELONGATA AS A CONTROL AGENT FOR TAMARIX RAMOSISSIMA IN DINOSAUR NATIONAL MONUMENT,2009,2,,Bristol Research (University of Bristol),Vanessa Archambault; Jared Auch; Jack Landy,6.5,beetle_defoliation,,,,,
Self-Supervised Pretraining of Transformers for Satellite Image Time Series Classification,2020,188,10.1109/jstars.2020.3036602,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Yuan Yuan; Lei Lin,6.0,self_supervised_veg,https://doi.org/10.1109/jstars.2020.3036602,https://ieeexplore.ieee.org/ielx7/4609443/9314330/09252123.pdf,https://doi.org/10.1109/jstars.2020.3036602,https://openalex.org/W3095867871,True
ClimaX: A foundation model for weather and climate,2023,169,10.48550/arxiv.2301.10343,arXiv (Cornell University),Tung Nguyen; J. Brandstetter; Ashish Kapoor,6.0,satmae_scalemae,https://doi.org/10.48550/arxiv.2301.10343,https://arxiv.org/pdf/2301.10343,http://arxiv.org/abs/2301.10343,https://openalex.org/W4318225439,True
Detection of Tamarisk Defoliation by the Northern Tamarisk Beetle Based on Multitemporal Landsat 5 Thematic Mapper Imagery,2012,26,10.2747/1548-1603.49.4.510,GIScience & Remote Sensing,Ran Meng; Philip E. Dennison; Levi R. Jamison,6.0,beetle_defoliation,https://doi.org/10.2747/1548-1603.49.4.510,,https://doi.org/10.2747/1548-1603.49.4.510,https://openalex.org/W1979029734,False
Vegetation‐groundwater dynamics at a former uranium mill site following invasion of a biocontrol agent: A time series analysis of Landsat normalized difference vegetation index data,2020,11,10.1002/hyp.13772,Hydrological Processes,Christopher J. Jarchow; W. Joseph Waugh; Kamel Didan,6.0,beetle_defoliation,https://doi.org/10.1002/hyp.13772,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hyp.13772,https://doi.org/10.1002/hyp.13772,https://openalex.org/W3015596030,True
Invariant Features for Global Crop Type Classification,2025,0,10.48550/arxiv.2509.03497,arXiv (Cornell University),Xinyi Tong; Sherrie Wang,6.0,presto_pixel_ts,https://doi.org/10.48550/arxiv.2509.03497,https://arxiv.org/pdf/2509.03497,,,True
Interannual controls on riparian plant health in a dryland river,2024,8,10.1002/eco.2613,Ecohydrology,Peter W. Downs; Adam Lambert; Jared Williams,5.5,dryland_riparian_change,https://doi.org/10.1002/eco.2613,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eco.2613,https://doi.org/10.1002/eco.2613,https://openalex.org/W4390608782,True
Population dynamics of the northern tamarisk beetle (&lt;em&gt;Diorhabda carinulata&lt;/em&gt;) in the Colorado River Basin,2018,1,10.3133/ofr20181070,Antarctica A Keystone in a Changing World,Levi R. Jamison; Charles van Riper,5.5,beetle_defoliation,https://doi.org/10.3133/ofr20181070,https://pubs.usgs.gov/of/2018/1070/ofr20181070.pdf,https://doi.org/10.3133/ofr20181070,https://openalex.org/W2598416588,True
SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery,2022,122,10.48550/arxiv.2207.08051,arXiv (Cornell University),Yezhen Cong; Samar Khanna; Chenlin Meng,5.0,satmae_scalemae,https://doi.org/10.48550/arxiv.2207.08051,https://arxiv.org/pdf/2207.08051,http://arxiv.org/abs/2207.08051,https://openalex.org/W4286233797,True
Efficient Deep Semantic Segmentation for Land Cover Classification Using Sentinel Imagery,2023,50,10.3390/rs15082027,Remote Sensing,Anastasios Tzepkenlis; Konstantinos Marthoglou; Nikos Grammalidis,5.0,self_supervised_veg,https://doi.org/10.3390/rs15082027,https://www.mdpi.com/2072-4292/15/8/2027/pdf?version=1681285048,https://doi.org/10.3390/rs15082027,https://openalex.org/W4365148117,True
"CNN, RNN, or ViT? An Evaluation of Different Deep Learning Architectures for Spatio-Temporal Representation of Sentinel Time Series",2022,43,10.1109/jstars.2022.3219816,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Linying Zhao; Shunping Ji,5.0,self_supervised_veg,https://doi.org/10.1109/jstars.2022.3219816,https://ieeexplore.ieee.org/ielx7/4609443/9973430/09940533.pdf,https://doi.org/10.1109/jstars.2022.3219816,https://openalex.org/W4311080873,True
"Lightweight, Pre-trained Transformers for Remote Sensing Timeseries",2023,28,10.48550/arxiv.2304.14065,arXiv (Cornell University),"Gabriel Tseng; Cartuyvels, Ruben; Ivan Zvonkov",5.0,presto_pixel_ts; satmae_scalemae,https://doi.org/10.48550/arxiv.2304.14065,https://arxiv.org/pdf/2304.14065,http://arxiv.org/abs/2304.14065,https://openalex.org/W4367365754,True
SeaMAE: Masked Pre-Training with Meteorological Satellite Imagery for Sea Fog Detection,2023,9,10.3390/rs15164102,Remote Sensing,Haotian Yan; Sundingkai Su; Ming Wu,5.0,presto_pixel_ts; satmae_scalemae,https://doi.org/10.3390/rs15164102,https://www.mdpi.com/2072-4292/15/16/4102/pdf?version=1692610680,https://doi.org/10.3390/rs15164102,https://openalex.org/W4386031835,True
Paving the Way Toward Foundation Models for Irregular and Unaligned Satellite Image Time Series,2025,7,10.1109/tgrs.2025.3589013,IEEE Transactions on Geoscience and Remote Sensing,Iris Dumeur; Silvia Valero; Jordi Inglada,5.0,presto_pixel_ts; satmae_scalemae,https://doi.org/10.1109/tgrs.2025.3589013,https://arxiv.org/pdf/2407.08448,http://arxiv.org/abs/2407.08448,https://openalex.org/W4400518526,True
"Effect of water delivery and irrigation for riparian restoration in the Colorado River Delta, Mexico",2024,2,10.1111/rec.14226,Restoration Ecology,Pamela L. Nagler; Ibrahima Sall; Martha Gómez‐Sapiens,5.0,beetle_defoliation,https://doi.org/10.1111/rec.14226,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/rec.14226,https://doi.org/10.1111/rec.14226,https://openalex.org/W4400333076,True
"Rice Crop Detection Using LSTM, Bi-LSTM, and Machine Learning Models from Sentinel-1 Time Series",2020,193,10.3390/rs12162655,Remote Sensing,Hugo Crisóstomo de Castro Filho; Osmar Abílio de Carvalho Júnior; Osmar Abílio de Carvalho Júnior,4.5,riparian_s2_ml,https://doi.org/10.3390/rs12162655,https://www.mdpi.com/2072-4292/12/16/2655/pdf?version=1597738817,https://doi.org/10.3390/rs12162655,https://openalex.org/W3073623721,True
Convolutional Neural Network-Based Deep Learning Approach for Automatic Flood Mapping Using NovaSAR-1 and Sentinel-1 Data,2023,44,10.3390/ijgi12050194,ISPRS International Journal of Geo-Information,Ogbaje Andrew; Armando Apan; Dev Raj Paudyal,4.5,self_supervised_veg,https://doi.org/10.3390/ijgi12050194,https://www.mdpi.com/2220-9964/12/5/194/pdf?version=1683678819,https://doi.org/10.3390/ijgi12050194,https://openalex.org/W4382490431,True
Ecohydrological consequences of non‐native riparian vegetation in the southwestern United States: A review from an ecophysiological perspective,2011,38,10.1029/2010wr010317,Water Resources Research,Kevin R. Hultine; S. E. Bush,4.5,beetle_defoliation,https://doi.org/10.1029/2010wr010317,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2010WR010317,https://doi.org/10.1029/2010wr010317,https://openalex.org/W1566590557,True
Feature Guided Masked Autoencoder for Self-Supervised Learning in Remote Sensing,2024,36,10.1109/jstars.2024.3493237,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Yi Wang; Hugo Hernández Hernández; Conrad M Albrecht,4.5,satmae_scalemae; self_supervised_veg,https://doi.org/10.1109/jstars.2024.3493237,https://doi.org/10.1109/jstars.2024.3493237,https://doi.org/10.1109/jstars.2024.3493237,https://openalex.org/W4404708688,True
River channel response to invasive plant treatment across the American Southwest,2022,23,10.1002/esp.5503,Earth Surface Processes and Landforms,Celeste Wieting; Jonathan M. Friedman; Sara L. Rathburn,4.5,russian_olive,https://doi.org/10.1002/esp.5503,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/esp.5503,https://doi.org/10.1002/esp.5503,https://openalex.org/W4307404338,True
Herbivory-induced mortality increases with radial growth in an invasive riparian phreatophyte,2013,21,10.1093/aob/mct077,Annals of Botany,Kevin R. Hultine; Tom L. Dudley; Steven W. Leavitt,4.5,beetle_defoliation,https://doi.org/10.1093/aob/mct077,https://academic.oup.com/aob/article-pdf/111/6/1197/17008158/mct077.pdf,https://doi.org/10.1093/aob/mct077,https://openalex.org/W2165777731,True
